Document Name,Relative Path,Extension,Word Count,Purpose,Strategic Function,Business Function,Layer Assignment,Dependencies,Inputs,Outputs,Workflows Supported,KPIs Influenced,Revenue Impact,Automation Potential,Decision Value,Scalability Value,Risk Factors,Related Documents,Related Systems,Related Departments,Lifecycle Position,Headings / Signals
.gitignore,Financial Drafts\finos-plugin\.gitignore,[none],0,"Preserves reusable Finance source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",Medium,Medium,Medium,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
.mcp.json,Financial Drafts\finos-plugin\.mcp.json,.json,22,Provides agent/runtime instructions or integration contracts for automating Finance work.,Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
schema.sql,Financial Drafts\finos-plugin\database\schema.sql,.sql,1842,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Client, Legal","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Client OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Client; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
docker-compose.yml,Financial Drafts\finos-plugin\docker-compose.yml,.yml,42,"Preserves reusable Finance source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,Medium,Medium,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
agent-prompts.md,Financial Drafts\finos-plugin\docs\agent-prompts.md,.md,478,Provides agent/runtime instructions or integration contracts for automating Finance work.,Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Hiring","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Hiring; Management,"Forecasting, Governance, Delivery economics, Expansion protection",AI Agent Prompts | CFO Agent | Cashflow Agent | Risk Agent | Profitability Agent
api-contracts.md,Financial Drafts\finos-plugin\docs\api-contracts.md,.md,267,Provides agent/runtime instructions or integration contracts for automating Finance work.,Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Client","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Client; Management,"Forecasting, Governance, Delivery economics, Expansion protection",API Contracts | MCP Tools | `get_cash_position` | `forecast_cashflow` | `allocate_capital`
architecture.md,Financial Drafts\finos-plugin\docs\architecture.md,.md,446,"Positions Finance components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Management","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",FinOS Architecture | System Layers | Event Flow | Module Ownership | Deployment Shape
automation-catalog.md,Financial Drafts\finos-plugin\docs\automation-catalog.md,.md,254,"Contributes reusable Finance knowledge, context, or operating doctrine.",Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Management","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Automation Catalog | Emergency Operating Mode
deployment.md,Financial Drafts\finos-plugin\docs\deployment.md,.md,159,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Measurement / KPI asset; Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Deployment | Local Development | Production Topology | Environment Variables | Release Gates
integrations.md,Financial Drafts\finos-plugin\docs\integrations.md,.md,198,"Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Client, Marketing","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Client OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Client; Marketing; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Integration Architecture | Connector Contract | Required Connectors | Idempotency | Evidence
module-map.md,Financial Drafts\finos-plugin\docs\module-map.md,.md,251,"Positions Finance components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Management","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Module Map
observability.md,Financial Drafts\finos-plugin\docs\observability.md,.md,170,"Contributes reusable Finance knowledge, context, or operating doctrine.",Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Observability | Technical Signals | Financial Signals | Recommended Stack | Critical Alerts
security.md,Financial Drafts\finos-plugin\docs\security.md,.md,191,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Hiring","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Hiring OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Hiring; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Security And Governance | Access Control | Authentication | Data Protection | Auditability
source-intelligence.md,Financial Drafts\finos-plugin\docs\source-intelligence.md,.md,655,"Contributes reusable Finance knowledge, context, or operating doctrine.",Vision doctrine; Architecture / system map; Execution workflow; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Management, Legal","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Management OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management; Legal,"Forecasting, Governance, Delivery economics, Expansion protection",Source Intelligence Map | Source Documents Read | Preserved System Doctrine | Architecture Decisions Derived From The Corpus | Non-Negotiable Implementation Invariants
workflows.md,Financial Drafts\finos-plugin\docs\workflows.md,.md,339,"Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Client","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Client; Management,"Forecasting, Governance, Delivery economics, Expansion protection",Workflow Orchestration | Revenue Received Workflow | Expense Approval Workflow | Liquidity Alert Workflow | Daily Owner Intelligence
package.json,Financial Drafts\finos-plugin\package.json,.json,72,"Contributes reusable Finance knowledge, context, or operating doctrine.",Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
README.md,Financial Drafts\finos-plugin\README.md,.md,355,"Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Management","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",FinOS Plugin | Operating Doctrine | Required Modules | Quick Start | MCP Tools
index.ts,Financial Drafts\finos-plugin\src\ai-agents\index.ts,.ts,573,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Client","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Client; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
index.ts,Financial Drafts\finos-plugin\src\allocation-engine\index.ts,.ts,255,"Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.",Finance + Automation,"Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
application.ts,Financial Drafts\finos-plugin\src\api-layer\application.ts,.ts,438,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Measurement / KPI asset; Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Management","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
contracts.ts,Financial Drafts\finos-plugin\src\api-layer\contracts.ts,.ts,633,"Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Client","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Client; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
http-api.ts,Financial Drafts\finos-plugin\src\api-layer\http-api.ts,.ts,174,Provides agent/runtime instructions or integration contracts for automating Finance work.,Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Legal, Client","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Legal OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Legal; Client; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
mcp-server.ts,Financial Drafts\finos-plugin\src\api-layer\mcp-server.ts,.ts,188,Provides agent/runtime instructions or integration contracts for automating Finance work.,Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,"Supports Finance operating performance and its handoffs into Management, Operations, Hiring, Offer pricing, Risk controls.","Finance + Automation, Marketing, Legal","Sales revenue, Client delivery economics, Operations spend, Legal/tax","revenue events, expenses, payroll, taxes, budgets, receivables, payables","cash position, allocation decisions, risk alerts, profitability reports, forecasts","Forecasting, Governance, Delivery economics, Expansion protection","net liquidity, runway days, gross margin, EBITDA, cash conversion cycle, budget variance, LTV:CAC, DSCR, concentration risk","Direct: changes acquisition, conversion, retention, expansion, pricing, cash, or forecast quality.",High,High,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger","Same layer documents; upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax; downstream: Management, Operations, Hiring, Offer pricing, Risk controls",Finance OS; Automation OS; Marketing OS; FinOS; Ledger; Treasury; Dashboard System; Agent Runtime; Memory Log; Workflow Automation,Finance; Automation; Marketing; Legal; Management,"Forecasting, Governance, Delivery economics, Expansion protection",
